Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,127
design__inferred_latch__count,0
design__instance__count,5577
design__instance__area,60049.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,20
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00024294336617458612
power__switching__total,0.00004108178472961299
power__leakage__total,7.007745352893835E-7
power__total,0.00028472591657191515
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.03319953780859066
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.03133679862629881
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11259767048557492
timing__setup__ws__corner:nom_fast_1p32V_m40C,70.62790019405588
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.112598
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,75.140190
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,20
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.06125752856132078
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.051405325895430974
timing__hold__ws__corner:nom_slow_1p08V_125C,0.2850101901823197
timing__setup__ws__corner:nom_slow_1p08V_125C,66.69700003297362
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.285010
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,66.696999
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,20
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.0426414263191032
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.03964619716961955
timing__hold__ws__corner:nom_typ_1p20V_25C,0.1765156681894116
timing__setup__ws__corner:nom_typ_1p20V_25C,70.45330562808705
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.176516
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,71.980637
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,20
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.03319953780859066
clock__skew__worst_setup,0.03133679862629881
timing__hold__ws,0.11259767048557492
timing__setup__ws,66.69700003297362
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112598
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,66.696999
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 390.0 190.0
design__core__bbox,5.76 15.12 384.0 173.88
design__io,8
design__die__area,74100
design__core__area,60049.4
design__instance__count__stdcell,4188
design__instance__area__stdcell,55627.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.926366
design__instance__utilization__stdcell,0.926366
design__rows,42
design__rows:CoreSite,42
design__sites,33096
design__sites:CoreSite,33096
design__instance__count__class:inverter,106
design__instance__area__class:inverter,576.979
design__instance__count__class:sequential_cell,328
design__instance__area__class:sequential_cell,16068.3
design__instance__count__class:multi_input_combinational_cell,3527
design__instance__area__class:multi_input_combinational_cell,36821.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
flow__warnings__count:GPL-1015,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,126175
design__violations,0
design__instance__count__class:timing_repair_buffer,181
design__instance__area__class:timing_repair_buffer,1313.63
design__instance__count__class:clock_buffer,31
design__instance__area__class:clock_buffer,731.203
design__instance__count__class:clock_inverter,10
design__instance__area__class:clock_inverter,88.9056
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,44
global_route__wirelength,198194
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,4
design__instance__count__class:antenna_cell,5
design__instance__area__class:antenna_cell,27.216
route__net,4173
route__net__special,2
route__drc_errors__iter:0,495
route__wirelength__iter:0,140422
route__drc_errors__iter:1,60
route__wirelength__iter:1,140250
route__drc_errors__iter:2,48
route__wirelength__iter:2,140218
route__drc_errors__iter:3,0
route__wirelength__iter:3,140206
route__drc_errors__iter:4,94
route__wirelength__iter:4,140157
route__drc_errors__iter:5,37
route__wirelength__iter:5,140153
route__drc_errors__iter:6,37
route__wirelength__iter:6,140153
route__drc_errors__iter:7,0
route__wirelength__iter:7,140134
route__drc_errors,0
route__wirelength,140206
route__vias,29301
route__vias__singlecut,29301
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,429.24
design__instance__count__class:fill_cell,1389
design__instance__area__class:fill_cell,4421.69
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,15
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,15
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,15
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,15
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.1999
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19996
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0000982624
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000986151
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000369915
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000986151
design_powergrid__voltage__worst,0.0000986151
design_powergrid__voltage__worst__net:VPWR,1.1999
design_powergrid__drop__worst,0.0000986151
design_powergrid__drop__worst__net:VPWR,0.0000982624
design_powergrid__voltage__worst__net:VGND,0.0000986151
design_powergrid__drop__worst__net:VGND,0.0000986151
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000038500000000000000693022028652734434217563830316066741943359375
ir__drop__worst,0.0000983000000000000041279479834344101618626154959201812744140625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
